,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7452093683463449,0.5129533678756477,0.7941176470588235,0.6232948583420777,0.844137022397892
Decision Tree,0.7338537970191625,0.4989517819706499,0.6363636363636364,0.5593419506462984,0.7342271823090237
Random Forest,0.7757274662881476,0.5771276595744681,0.5802139037433155,0.5786666666666667,0.8241442558578109
Gradient Boosting,0.7835344215755855,0.5804195804195804,0.6657754010695187,0.6201743462017435,0.8436113048645019
XGBoost,0.7778566359119943,0.584958217270195,0.5614973262032086,0.572987721691678,0.821465292309282
LightGBM,0.7814052519517388,0.5891891891891892,0.5828877005347594,0.5860215053763441,0.8339933865509314
